ds,y,,,
10-03-2017,1271.125,,,
14-03-2017,1283.75,,,
15-03-2017,1249.150024,,,
16-03-2017,1260.449951,,,
17-03-2017,1262.875,,,
20-03-2017,1240,,,
21-03-2017,1243.349976,,,
22-03-2017,1239.474976,,,
23-03-2017,1230.175049,,,
24-03-2017,1213.599976,,,
27-03-2017,1206.025024,,,
28-03-2017,1214.974976,,,
29-03-2017,1222.300049,,,
30-03-2017,1220.5,,,
31-03-2017,1215.900024,,,
03-04-2017,1205.849976,,,
05-04-2017,1200.625,,,
06-04-2017,1200.025024,,,
07-04-2017,1214.525024,,,
10-04-2017,1211.125,,,
11-04-2017,1209.650024,,,
12-04-2017,1196.625,,,
13-04-2017,1164.324951,,,
17-04-2017,1157.425049,,,
18-04-2017,1154.400024,,,
19-04-2017,1149.574951,,,
20-04-2017,1162.75,,,
21-04-2017,1155.400024,,,
24-04-2017,1164.050049,,,
25-04-2017,1155.75,,,
26-04-2017,1155.175049,,,
27-04-2017,1151.324951,,,
28-04-2017,1136.574951,,,
02-05-2017,1144.949951,,,
03-05-2017,1168.650024,,,
04-05-2017,1165.050049,,,
05-05-2017,1160.25,,,
08-05-2017,1171.224976,,,
09-05-2017,1176.275024,,,
10-05-2017,1166.224976,,,
11-05-2017,1174.724976,,,
12-05-2017,1180.324951,,,
15-05-2017,1182.550049,,,
16-05-2017,1214.574951,,,
17-05-2017,1227.675049,,,
18-05-2017,1268.099976,,,
19-05-2017,1253.574951,,,
22-05-2017,1265.675049,,,
23-05-2017,1260.849976,,,
24-05-2017,1279.574951,,,
25-05-2017,1312.300049,,,
26-05-2017,1289.125,,,
29-05-2017,1286.425049,,,
30-05-2017,1275.550049,,,
31-05-2017,1273.300049,,,
01-06-2017,1276.800049,,,
02-06-2017,1282.449951,,,
05-06-2017,1301.974976,,,
06-06-2017,1348,,,
07-06-2017,1307.625,,,
08-06-2017,1260.800049,,,
09-06-2017,1253.5,,,
12-06-2017,1243.599976,,,
13-06-2017,1225.775024,,,
14-06-2017,1235.099976,,,
15-06-2017,1205.599976,,,
16-06-2017,1199.849976,,,
19-06-2017,1215.849976,,,
20-06-2017,1222.5,,,
21-06-2017,1203.150024,,,
22-06-2017,1197.425049,,,
23-06-2017,1180.849976,,,
27-06-2017,1171.425049,,,
28-06-2017,1175.025024,,,
29-06-2017,1166.625,,,
30-06-2017,1181.175049,,,
03-07-2017,1186.800049,,,
04-07-2017,1183.425049,,,
05-07-2017,1178,,,
06-07-2017,1173.775024,,,
07-07-2017,1165.974976,,,
10-07-2017,1217.474976,,,
11-07-2017,1237.900024,,,
12-07-2017,1219.724976,,,
13-07-2017,1223.199951,,,
14-07-2017,1198.724976,,,
17-07-2017,1197.724976,,,
18-07-2017,1204.175049,,,
19-07-2017,1224.800049,,,
20-07-2017,1222.349976,,,
21-07-2017,1245.599976,,,
24-07-2017,1265.349976,,,
25-07-2017,1285.75,,,
26-07-2017,1278,,,
27-07-2017,1240.849976,,,
28-07-2017,1242.150024,,,
31-07-2017,1245.900024,,,
01-08-2017,1250.824951,,,
02-08-2017,1236.900024,,,
03-08-2017,1244.724976,,,
04-08-2017,1261.400024,,,
07-08-2017,1251.724976,,,
08-08-2017,1251.525024,,,
